Id,CreationDate,LastAccessDate,Reputation,UpVotes,DownVotes,NumPosts,TotalScore,TotalViews,TotalComments
7083860,10/28/2016 6:11,10/28/2016 6:27,1,0,0,0,,,
24801497,4/30/2024 9:46,4/30/2024 10:02,1,0,0,0,,,
26607681,8/1/2024 21:10,10/22/2024 20:37,1,0,0,0,,,
1902424,12/13/2012 22:02,7/12/2013 8:50,1,0,0,0,,,
19882677,8/30/2022 21:35,8/30/2022 21:53,1,0,0,0,,,
26709784,8/9/2024 1:02,8/9/2024 1:36,1,0,0,0,,,
2993265,11/14/2013 17:33,3/25/2024 13:41,1,0,0,0,,,
23121055,12/18/2023 11:51,12/18/2023 14:05,1,0,0,0,,,
11943275,8/18/2019 16:10,3/14/2020 16:19,1,0,0,0,,,
16403673,7/8/2021 3:00,3/9/2022 17:43,1,0,0,0,,,
13501720,5/8/2020 21:36,11/26/2024 7:48,7,0,0,3,0,331,2
24322526,4/14/2024 11:34,2/21/2025 13:26,1,0,0,3,-2,72,2
9366348,2/15/2018 17:51,3/13/2018 19:54,1,0,0,0,,,
12432541,11/25/2019 21:44,11/28/2019 12:12,13,0,0,1,1,327,2
17596260,12/5/2021 16:54,12/5/2021 16:54,1,0,0,0,,,
25416627,6/4/2024 15:55,6/4/2024 15:55,1,0,0,0,,,
24111490,4/8/2024 11:15,5/16/2024 11:59,1,0,0,0,,,
9772329,5/10/2018 17:36,7/28/2018 18:06,1,0,0,0,,,
3726243,6/10/2014 13:29,7/4/2014 20:04,1,0,0,0,,,
28296126,11/14/2024 10:06,11/14/2024 10:06,1,0,0,0,,,
13843027,6/30/2020 19:11,6/30/2020 19:36,1,0,0,0,,,
8588152,9/10/2017 15:42,9/10/2017 15:42,1,0,0,0,,,
18799276,4/14/2022 2:51,6/9/2022 8:44,1,0,0,0,,,
5503896,10/29/2015 16:25,4/12/2024 16:12,1,0,0,0,,,
25691411,6/24/2024 1:19,6/24/2024 1:19,1,0,0,0,,,
21072088,1/24/2023 10:52,2/9/2023 4:52,1,0,0,0,,,
15524028,3/31/2021 16:23,3/31/2021 16:23,1,0,0,0,,,
6064877,3/15/2016 6:55,7/20/2021 4:52,21,0,0,2,2,286,2
18632169,3/30/2022 13:02,3/30/2022 13:02,1,0,0,0,,,
28124035,11/4/2024 10:21,4/4/2025 14:48,1,0,0,0,,,
13042440,3/11/2020 2:03,7/27/2023 2:39,1,0,0,0,,,
16479405,7/19/2021 9:41,2/1/2024 14:04,11,0,0,1,1,1573,0
10087390,7/16/2018 9:24,7/16/2018 9:24,1,0,0,0,,,
25272379,5/27/2024 14:06,5/27/2024 14:06,1,0,0,0,,,
27182306,9/3/2024 16:24,12/3/2024 20:18,1,0,0,0,,,
4868534,5/6/2015 0:07,2/7/2022 13:45,59,1,0,2,2,,1
23665445,3/19/2024 19:22,7/16/2024 16:16,1,0,0,0,,,
27400858,9/21/2024 10:28,9/24/2024 10:38,1,0,0,0,,,
4640511,3/6/2015 10:52,8/11/2021 1:16,1,0,0,0,,,
23150015,12/24/2023 6:28,12/24/2023 7:00,1,0,0,0,,,
28319883,11/15/2024 16:37,11/15/2024 16:37,1,0,0,0,,,
25251188,5/26/2024 7:18,12/4/2024 19:01,1,0,0,0,,,
24615095,4/23/2024 17:20,5/30/2024 17:44,1,0,0,0,,,
25330168,5/30/2024 13:00,5/31/2024 13:28,1,0,0,0,,,
14037073,8/2/2020 11:54,9/5/2021 11:50,17,0,0,3,-1,778,9
23699118,3/21/2024 6:23,3/12/2025 5:53,1,0,0,0,,,
23227532,1/11/2024 2:32,1/12/2024 15:20,1,0,0,0,,,
26836767,8/15/2024 12:14,8/15/2024 12:14,1,0,0,0,,,
27171736,9/2/2024 21:06,9/2/2024 21:06,1,0,0,0,,,
26278346,7/9/2024 4:03,7/13/2024 6:08,1,0,0,0,,,
11311083,4/4/2019 10:55,8/11/2019 9:23,1,0,0,2,-1,48,0
19394888,6/22/2022 22:30,7/3/2022 15:10,1,0,0,1,0,,0
13832310,6/29/2020 5:32,6/29/2020 5:32,1,0,0,0,,,
17910839,1/12/2022 6:12,1/12/2022 6:12,1,0,0,0,,,
20267216,10/17/2022 21:25,10/17/2022 21:25,1,0,0,0,,,
8328057,7/18/2017 21:58,7/18/2017 21:58,1,0,0,0,,,
29811077,2/26/2025 15:39,3/7/2025 17:26,1,0,0,0,,,
7004845,10/12/2016 1:43,8/29/2022 22:14,1,0,0,0,,,
12102895,9/22/2019 13:54,9/22/2019 13:54,1,0,0,0,,,
6072122,3/16/2016 14:13,3/20/2016 14:46,1,0,0,1,-1,1719,0
17309608,11/2/2021 12:46,11/2/2021 13:05,1,0,0,0,,,
10400276,9/22/2018 10:28,6/23/2019 14:57,1,0,0,0,,,
22339835,8/4/2023 15:16,8/4/2023 15:56,1,0,0,0,,,
8448194,8/11/2017 0:25,9/9/2017 17:25,1831,0,0,1,183,188571,1
24896935,5/6/2024 15:01,5/7/2024 11:21,1,0,0,0,,,
1647490,9/4/2012 22:30,9/4/2012 22:30,91,0,0,1,7,41646,7
27940953,10/23/2024 2:33,4/2/2025 3:23,1,0,0,0,,,
8703119,10/1/2017 8:18,1/25/2023 8:42,57,2,0,4,4,2602,6
7654530,3/3/2017 16:06,6/27/2019 16:21,19,0,0,2,1,118,5
5319821,9/10/2015 5:50,4/21/2016 6:04,1,0,0,0,,,
25100983,5/17/2024 12:49,5/17/2024 17:41,1,0,0,0,,,
